,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
RBBP8_ENSTGUG00000010362.2,0.0,,,,,,RBBP8_ENSTGUG00000010362.2,radial glia 1
TNFRSF11A_ENSTGUG00000024912.1,0.0,,,,,,TNFRSF11A_ENSTGUG00000024912.1,radial glia 1
TMEM241_ENSTGUG00000010387.2,0.0,,,,,,TMEM241_ENSTGUG00000010387.2,radial glia 1
ZCCHC2_ENSTGUG00000024466.1,0.0,,,,,,ZCCHC2_ENSTGUG00000024466.1,radial glia 1
_ENSTGUG00000008158.2,0.0,,,,,,_ENSTGUG00000008158.2,radial glia 1
AOC1_ENSTGUG00000027317.1,0.0,,,,,,AOC1_ENSTGUG00000027317.1,radial glia 1
EXT1_ENSTGUG00000012328.2,0.0,,,,,,EXT1_ENSTGUG00000012328.2,radial glia 1
POU6F2_ENSTGUG00000001859.2,0.0,,,,,,POU6F2_ENSTGUG00000001859.2,radial glia 1
FH_ENSTGUG00000008229.2,0.0,,,,,,FH_ENSTGUG00000008229.2,radial glia 1
SERPINB5_ENSTGUG00000002060.2,0.0,,,,,,SERPINB5_ENSTGUG00000002060.2,radial glia 1
_ENSTGUG00000008245.2,0.25,15.14891403819322,251.93754309060625,0.4110847400689064,0.5214194470342172,1.0,_ENSTGUG00000008245.2,radial glia 1
_ENSTGUG00000021399.1,0.0,,,,,,_ENSTGUG00000021399.1,radial glia 1
TNFRSF11B_ENSTGUG00000012341.2,0.0,,,,,,TNFRSF11B_ENSTGUG00000012341.2,radial glia 1
TTC39C_ENSTGUG00000010516.2,0.0,,,,,,TTC39C_ENSTGUG00000010516.2,radial glia 1
OSBPL1A_ENSTGUG00000010525.2,0.0,,,,,,OSBPL1A_ENSTGUG00000010525.2,radial glia 1
CCM2_ENSTGUG00000015039.2,0.0,,,,,,CCM2_ENSTGUG00000015039.2,radial glia 1
COLEC10_ENSTGUG00000019400.1,0.0,,,,,,COLEC10_ENSTGUG00000019400.1,radial glia 1
IMPACT_ENSTGUG00000010551.2,0.0,,,,,,IMPACT_ENSTGUG00000010551.2,radial glia 1
CCN3_ENSTGUG00000012349.2,0.0,,,,,,CCN3_ENSTGUG00000012349.2,radial glia 1
KLF10_ENSTGUG00000012120.2,0.0,,,,,,KLF10_ENSTGUG00000012120.2,radial glia 1
WRNIP1_ENSTGUG00000002117.2,0.0,,,,,,WRNIP1_ENSTGUG00000002117.2,radial glia 1
BAALC_ENSTGUG00000028617.1,0.0,,,,,,BAALC_ENSTGUG00000028617.1,radial glia 1
AMPH_ENSTGUG00000001869.2,0.0,,,,,,AMPH_ENSTGUG00000001869.2,radial glia 1
FZD6_ENSTGUG00000012145.2,0.0,,,,,,FZD6_ENSTGUG00000012145.2,radial glia 1
ENPP2_ENSTGUG00000012352.2,0.25,-13.913697504695524,167.81748613274985,0.4109750841646109,0.5214750056430177,1.0,ENPP2_ENSTGUG00000012352.2,radial glia 1
MYLK4_ENSTGUG00000019999.1,0.0,,,,,,MYLK4_ENSTGUG00000019999.1,radial glia 1
_ENSTGUG00000023173.1,0.0,,,,,,_ENSTGUG00000023173.1,radial glia 1
SCAP_ENSTGUG00000020198.1,0.0,,,,,,SCAP_ENSTGUG00000020198.1,radial glia 1
ELP6_ENSTGUG00000000144.2,0.0,,,,,,ELP6_ENSTGUG00000000144.2,radial glia 1
GMDS_ENSTGUG00000002124.2,0.0,,,,,,GMDS_ENSTGUG00000002124.2,radial glia 1
RIMS2_ENSTGUG00000012161.2,0.0,,,,,,RIMS2_ENSTGUG00000012161.2,radial glia 1
AQP4_ENSTGUG00000020250.1,2.25,-0.29417180200805243,3.8868985062756427,0.005668000879211377,0.939987059414008,1.0,AQP4_ENSTGUG00000020250.1,radial glia 1
_ENSTGUG00000002129.2,0.0,,,,,,_ENSTGUG00000002129.2,radial glia 1
FOXQ1_ENSTGUG00000018779.1,0.0,,,,,,FOXQ1_ENSTGUG00000018779.1,radial glia 1
_ENSTGUG00000010651.2,0.0,,,,,,_ENSTGUG00000010651.2,radial glia 1
_ENSTGUG00000028219.1,0.0,,,,,,_ENSTGUG00000028219.1,radial glia 1
POMGNT2_ENSTGUG00000003854.2,0.0,,,,,,POMGNT2_ENSTGUG00000003854.2,radial glia 1
LRP12_ENSTGUG00000012185.2,0.0,,,,,,LRP12_ENSTGUG00000012185.2,radial glia 1
_ENSTGUG00000001876.2,0.0,,,,,,_ENSTGUG00000001876.2,radial glia 1
ZFPM2_ENSTGUG00000012190.2,0.0,,,,,,ZFPM2_ENSTGUG00000012190.2,radial glia 1
IRF4_ENSTGUG00000002144.2,0.0,,,,,,IRF4_ENSTGUG00000002144.2,radial glia 1
_ENSTGUG00000010683.2,0.0,,,,,,_ENSTGUG00000010683.2,radial glia 1
ENTPD3_ENSTGUG00000003902.2,0.0,,,,,,ENTPD3_ENSTGUG00000003902.2,radial glia 1
TTR_ENSTGUG00000010708.2,0.0,,,,,,TTR_ENSTGUG00000010708.2,radial glia 1
_ENSTGUG00000010735.2,0.0,,,,,,_ENSTGUG00000010735.2,radial glia 1
_ENSTGUG00000003917.2,0.0,,,,,,_ENSTGUG00000003917.2,radial glia 1
OXR1_ENSTGUG00000012194.2,0.25,15.14891403819322,251.93754309060625,0.4110847400689064,0.5214194470342172,1.0,OXR1_ENSTGUG00000012194.2,radial glia 1
NOD1_ENSTGUG00000003926.2,0.0,,,,,,NOD1_ENSTGUG00000003926.2,radial glia 1
NQO2_ENSTGUG00000002159.2,0.0,,,,,,NQO2_ENSTGUG00000002159.2,radial glia 1
_ENSTGUG00000021749.1,0.0,,,,,,_ENSTGUG00000021749.1,radial glia 1
_ENSTGUG00000019458.1,0.0,,,,,,_ENSTGUG00000019458.1,radial glia 1
RSPO2_ENSTGUG00000012214.2,0.0,,,,,,RSPO2_ENSTGUG00000012214.2,radial glia 1
_ENSTGUG00000028033.1,0.0,,,,,,_ENSTGUG00000028033.1,radial glia 1
GAREM1_ENSTGUG00000010770.2,0.0,,,,,,GAREM1_ENSTGUG00000010770.2,radial glia 1
_ENSTGUG00000020908.1,0.0,,,,,,_ENSTGUG00000020908.1,radial glia 1
_ENSTGUG00000010771.2,0.0,,,,,,_ENSTGUG00000010771.2,radial glia 1
TUBB2A_ENSTGUG00000028536.1,5.5,-1.4485938154424598e-05,3.8056536306009545,-1.4487966382148443e-11,1.0,1.0,TUBB2A_ENSTGUG00000028536.1,radial glia 1
VIPR2_ENSTGUG00000000754.2,0.25,15.14891403819322,251.93754309060625,0.4110847400689064,0.5214194470342172,1.0,VIPR2_ENSTGUG00000000754.2,radial glia 1
KLHL18_ENSTGUG00000000150.2,0.0,,,,,,KLHL18_ENSTGUG00000000150.2,radial glia 1
_ENSTGUG00000020957.1,0.0,,,,,,_ENSTGUG00000020957.1,radial glia 1
_ENSTGUG00000027397.1,0.0,,,,,,_ENSTGUG00000027397.1,radial glia 1
CPNE4_ENSTGUG00000004219.2,0.0,,,,,,CPNE4_ENSTGUG00000004219.2,radial glia 1
NTAQ1_ENSTGUG00000020251.1,0.0,,,,,,NTAQ1_ENSTGUG00000020251.1,radial glia 1
LARP4B_ENSTGUG00000000811.2,0.0,,,,,,LARP4B_ENSTGUG00000000811.2,radial glia 1
DNAJC13_ENSTGUG00000004305.2,0.0,,,,,,DNAJC13_ENSTGUG00000004305.2,radial glia 1
_ENSTGUG00000025452.1,0.0,,,,,,_ENSTGUG00000025452.1,radial glia 1
WDR37_ENSTGUG00000000838.2,0.0,,,,,,WDR37_ENSTGUG00000000838.2,radial glia 1
UBA5_ENSTGUG00000004432.2,0.0,,,,,,UBA5_ENSTGUG00000004432.2,radial glia 1
_ENSTGUG00000029540.1,0.0,,,,,,_ENSTGUG00000029540.1,radial glia 1
NRN1_ENSTGUG00000002274.2,0.0,,,,,,NRN1_ENSTGUG00000002274.2,radial glia 1
_ENSTGUG00000028141.1,0.0,,,,,,_ENSTGUG00000028141.1,radial glia 1
ADARB2_ENSTGUG00000000848.2,0.0,,,,,,ADARB2_ENSTGUG00000000848.2,radial glia 1
F13A1_ENSTGUG00000002276.2,0.0,,,,,,F13A1_ENSTGUG00000002276.2,radial glia 1
_ENSTGUG00000026017.1,0.0,,,,,,_ENSTGUG00000026017.1,radial glia 1
LY86_ENSTGUG00000026091.1,0.0,,,,,,LY86_ENSTGUG00000026091.1,radial glia 1
_ENSTGUG00000010914.2,0.0,,,,,,_ENSTGUG00000010914.2,radial glia 1
ITGA9_ENSTGUG00000001897.2,0.0,,,,,,ITGA9_ENSTGUG00000001897.2,radial glia 1
SNTG1_ENSTGUG00000010922.2,0.0,,,,,,SNTG1_ENSTGUG00000010922.2,radial glia 1
KLF6_ENSTGUG00000000906.2,0.25,-13.913697504695524,167.81748613274985,0.4109750841646109,0.5214750056430177,1.0,KLF6_ENSTGUG00000000906.2,radial glia 1
_ENSTGUG00000028358.1,0.0,,,,,,_ENSTGUG00000028358.1,radial glia 1
NEUROD6_ENSTGUG00000001910.2,0.0,,,,,,NEUROD6_ENSTGUG00000001910.2,radial glia 1
ALKAL1_ENSTGUG00000025647.1,0.0,,,,,,ALKAL1_ENSTGUG00000025647.1,radial glia 1
_ENSTGUG00000026299.1,0.0,,,,,,_ENSTGUG00000026299.1,radial glia 1
BMP6_ENSTGUG00000026736.1,0.0,,,,,,BMP6_ENSTGUG00000026736.1,radial glia 1
CDH12_ENSTGUG00000001914.2,0.0,,,,,,CDH12_ENSTGUG00000001914.2,radial glia 1
_ENSTGUG00000020581.1,0.0,,,,,,_ENSTGUG00000020581.1,radial glia 1
RB1CC1_ENSTGUG00000010964.2,0.0,,,,,,RB1CC1_ENSTGUG00000010964.2,radial glia 1
CDH10_ENSTGUG00000001926.2,0.0,,,,,,CDH10_ENSTGUG00000001926.2,radial glia 1
XKR4_ENSTGUG00000022313.1,0.0,,,,,,XKR4_ENSTGUG00000022313.1,radial glia 1
