,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,cluster
KLF6_ENSTGUG00000000906.2,0.0,,,,,,KLF6_ENSTGUG00000000906.2,red blood cells
_ENSTGUG00000028358.1,0.0,,,,,,_ENSTGUG00000028358.1,red blood cells
NEUROD6_ENSTGUG00000001910.2,0.0,,,,,,NEUROD6_ENSTGUG00000001910.2,red blood cells
ALKAL1_ENSTGUG00000025647.1,0.0,,,,,,ALKAL1_ENSTGUG00000025647.1,red blood cells
_ENSTGUG00000026299.1,0.0,,,,,,_ENSTGUG00000026299.1,red blood cells
BMP6_ENSTGUG00000026736.1,0.0,,,,,,BMP6_ENSTGUG00000026736.1,red blood cells
CDH12_ENSTGUG00000001914.2,0.0,,,,,,CDH12_ENSTGUG00000001914.2,red blood cells
_ENSTGUG00000020581.1,0.0,,,,,,_ENSTGUG00000020581.1,red blood cells
RB1CC1_ENSTGUG00000010964.2,0.0,,,,,,RB1CC1_ENSTGUG00000010964.2,red blood cells
CDH10_ENSTGUG00000001926.2,0.0,,,,,,CDH10_ENSTGUG00000001926.2,red blood cells
XKR4_ENSTGUG00000022313.1,0.0,,,,,,XKR4_ENSTGUG00000022313.1,red blood cells
SLC35B3_ENSTGUG00000002378.2,0.0,,,,,,SLC35B3_ENSTGUG00000002378.2,red blood cells
RGS20_ENSTGUG00000011005.2,0.0,,,,,,RGS20_ENSTGUG00000011005.2,red blood cells
LYN_ENSTGUG00000011056.2,0.0,,,,,,LYN_ENSTGUG00000011056.2,red blood cells
CCR4_ENSTGUG00000018201.2,0.0,,,,,,CCR4_ENSTGUG00000018201.2,red blood cells
CX3CR1_ENSTGUG00000018365.2,0.0,,,,,,CX3CR1_ENSTGUG00000018365.2,red blood cells
_ENSTGUG00000011094.2,0.0,,,,,,_ENSTGUG00000011094.2,red blood cells
SLC25A38_ENSTGUG00000004577.2,0.0,,,,,,SLC25A38_ENSTGUG00000004577.2,red blood cells
NRP1_ENSTGUG00000000947.2,0.0,,,,,,NRP1_ENSTGUG00000000947.2,red blood cells
MAK_ENSTGUG00000005730.2,0.0,,,,,,MAK_ENSTGUG00000005730.2,red blood cells
JMJD4_ENSTGUG00000000219.2,0.0,,,,,,JMJD4_ENSTGUG00000000219.2,red blood cells
PLAG1_ENSTGUG00000025027.1,0.0,,,,,,PLAG1_ENSTGUG00000025027.1,red blood cells
